repo,commit_hash,file_path,is_buggy,loc,sloc,avg_complexity,max_complexity,maintainability_index,num_contributors,num_commits,num_bug_fixes,file_age_commits,lines_added,lines_deleted,import_count,max_nesting_depth,commit_hour,author_commits,files_in_commit,day_of_week,is_first_contribution,commit_msg_length
jinja,877f6e51,src/jinja2/__init__.py,0,38,32,0.0,0,100.0,1,24,0,12,1,1,31,0,10,156,2,5,0,21
jinja,eda8fe86,src/jinja2/lexer.py,0,868,622,3.62,48,28.76,4,12,5,11,3,3,10,13,10,156,9,5,0,23
jinja,66587ce9,src/jinja2/idtracking.py,1,321,233,2.29,10,30.06,6,8,4,12,7,10,4,6,15,2,3,0,1,620
jinja,b8f4831d,src/jinja2/parser.py,0,1049,852,4.02,12,2.17,4,13,6,13,11,7,9,8,14,156,2,4,0,122
jinja,ee832194,src/jinja2/parser.py,1,1041,851,4.04,11,1.67,4,13,6,14,17,13,9,8,12,2,5,0,0,774
jinja,0cd69481,src/jinja2/utils.py,0,766,386,2.33,25,38.9,6,17,6,19,2,0,19,8,4,1,3,3,1,30
jinja,ded9915f,src/jinja2/ext.py,0,870,558,3.43,25,30.99,4,11,2,20,1,1,19,9,9,1,6,2,1,48
jinja,ded9915f,src/jinja2/idtracking.py,0,321,233,2.29,10,30.06,6,8,4,20,4,1,4,6,9,1,6,2,1,48
jinja,ded9915f,src/jinja2/utils.py,0,764,384,2.31,24,39.12,6,17,6,20,1,1,19,8,9,1,6,2,1,48
jinja,aaa083d2,src/jinja2/loaders.py,0,693,378,3.36,12,41.2,7,20,9,21,11,7,15,6,20,156,3,3,0,27
jinja,f54fa113,src/jinja2/loaders.py,1,689,374,3.31,11,41.37,7,20,9,22,2,2,15,6,15,1,1,3,1,152
jinja,227edfd3,src/jinja2/loaders.py,0,689,374,3.31,11,41.37,7,20,9,23,4,2,15,6,19,156,3,3,0,26
jinja,ed5f7620,src/jinja2/loaders.py,1,684,369,3.26,11,41.82,7,20,9,24,4,1,15,6,15,1,2,0,1,47
jinja,91a972f5,src/jinja2/sandbox.py,0,436,246,3.33,17,53.5,5,9,4,27,43,38,14,9,15,1,3,0,1,36
jinja,b5120582,src/jinja2/sandbox.py,0,431,245,3.36,17,53.09,5,9,4,29,3,1,13,9,13,1,3,4,1,55
jinja,7232b824,src/jinja2/utils.py,1,755,379,2.37,24,39.57,6,17,6,30,11,2,19,8,15,1,3,1,1,51
jinja,d4fb0e8c,src/jinja2/runtime.py,0,1062,617,2.17,15,25.32,7,16,3,31,17,13,25,5,12,1,4,1,1,41
jinja,d3a0b1a4,src/jinja2/runtime.py,0,1058,620,2.14,15,26.02,7,16,3,35,4,2,25,5,10,3,3,1,1,43
jinja,955d7daf,src/jinja2/loaders.py,0,684,369,3.26,11,41.82,7,20,9,36,1,4,15,6,11,1,1,1,1,161
jinja,c667d56d,src/jinja2/loaders.py,0,687,369,3.26,11,41.86,7,20,9,39,1,1,15,6,9,156,4,2,0,36
jinja,4e7850ce,src/jinja2/runtime.py,0,1056,618,2.14,15,26.0,7,16,3,45,2,2,25,5,16,1,1,3,1,54
jinja,3adf44dd,src/jinja2/async_utils.py,1,99,63,1.75,3,70.68,5,9,3,58,1,1,7,4,16,156,11,4,0,16
jinja,3adf44dd,src/jinja2/debug.py,1,191,111,8.0,9,65.0,3,8,3,58,1,1,8,4,16,156,11,4,0,16
jinja,3adf44dd,src/jinja2/idtracking.py,1,318,231,2.29,10,30.33,6,8,4,58,2,2,3,6,16,156,11,4,0,16
jinja,3adf44dd,src/jinja2/lexer.py,1,868,622,3.62,48,28.65,4,12,5,58,1,1,10,13,16,156,11,4,0,16
jinja,3adf44dd,src/jinja2/parser.py,1,1041,851,4.04,11,1.67,4,13,6,58,1,1,9,8,16,156,11,4,0,16
jinja,3adf44dd,src/jinja2/runtime.py,1,1056,618,2.14,15,26.0,7,16,3,58,1,1,25,5,16,156,11,4,0,16
jinja,3adf44dd,src/jinja2/sandbox.py,1,429,243,3.36,17,53.11,5,9,4,58,1,1,13,9,16,156,11,4,0,16
jinja,3adf44dd,src/jinja2/utils.py,1,755,379,2.37,24,39.57,6,17,6,58,1,1,19,8,16,156,11,4,0,16
jinja,4b6dac1b,src/jinja2/debug.py,0,172,92,7.67,9,66.21,3,8,3,68,1,1,8,4,22,22,9,0,0,101
jinja,4b6dac1b,src/jinja2/idtracking.py,0,318,231,2.29,10,30.33,6,8,4,68,2,2,3,6,22,22,9,0,0,101
jinja,4b6dac1b,src/jinja2/lexer.py,0,868,622,3.62,48,28.65,4,12,5,68,1,1,10,13,22,22,9,0,0,101
jinja,4b6dac1b,src/jinja2/parser.py,0,1041,851,4.04,11,1.67,4,13,6,68,1,1,9,8,22,22,9,0,0,101
jinja,4b6dac1b,src/jinja2/runtime.py,0,1056,618,2.14,15,26.0,7,16,3,68,1,1,25,5,22,22,9,0,0,101
jinja,4b6dac1b,src/jinja2/sandbox.py,0,429,243,3.36,17,53.11,5,9,4,68,1,1,13,9,22,22,9,0,0,101
jinja,4b6dac1b,src/jinja2/utils.py,0,755,379,2.37,24,39.57,6,17,6,68,1,1,19,8,22,22,9,0,0,101
jinja,679af7f8,src/jinja2/loaders.py,1,667,353,3.38,11,42.66,7,20,9,73,26,6,15,6,18,3,2,0,1,33
jinja,1655128c,src/jinja2/async_utils.py,0,99,63,1.75,3,70.68,5,9,3,75,20,5,7,4,23,3,9,5,0,61
jinja,2fcabb52,src/jinja2/__init__.py,0,38,32,0.0,0,100.0,1,24,0,80,1,1,31,0,13,156,2,5,0,19
jinja,dd4a8b54,src/jinja2/__init__.py,0,38,32,0.0,0,100.0,1,24,0,82,1,1,31,0,16,156,2,6,0,21
jinja,a7863ba9,docs/conf.py,0,55,46,0.0,0,100.0,1,7,0,88,1,0,2,0,8,156,1,3,0,14
jinja,b5c98e78,src/jinja2/__init__.py,0,38,32,0.0,0,100.0,1,24,0,85,1,1,31,0,8,156,2,3,0,19
jinja,fcd3d3bb,src/jinja2/debug.py,0,172,92,7.67,9,66.21,3,8,3,91,1,20,8,4,12,156,7,1,0,27
jinja,fcd3d3bb,src/jinja2/ext.py,0,854,548,3.39,25,31.54,4,11,2,91,2,18,19,9,12,156,7,1,0,27
jinja,0ee5eb41,src/jinja2/__init__.py,0,38,32,0.0,0,100.0,1,24,0,95,1,0,31,0,9,156,21,1,0,42
jinja,0ee5eb41,src/jinja2/async_utils.py,0,84,53,2.5,4,74.22,5,9,3,92,1,1,6,4,9,156,21,1,0,42
jinja,0ee5eb41,src/jinja2/bccache.py,0,408,211,2.38,13,53.11,3,6,2,92,6,4,15,4,9,156,21,1,0,42
jinja,0ee5eb41,src/jinja2/ext.py,0,870,558,3.43,25,30.99,4,11,2,92,10,9,19,9,9,156,21,1,0,42
jinja,0ee5eb41,src/jinja2/lexer.py,0,868,622,3.62,48,28.65,4,12,5,92,3,1,10,13,9,156,21,1,0,42
jinja,0ee5eb41,src/jinja2/loaders.py,0,667,353,3.38,11,42.66,7,20,9,92,8,2,15,6,9,156,21,1,0,42
jinja,0ee5eb41,src/jinja2/meta.py,0,112,47,3.67,12,74.72,2,3,1,92,1,0,5,7,9,156,21,1,0,42
jinja,0ee5eb41,src/jinja2/nodes.py,0,1206,628,2.34,12,26.37,4,8,5,92,3,1,9,7,9,156,21,1,0,42
jinja,0ee5eb41,src/jinja2/optimizer.py,0,48,25,2.5,4,100.0,1,2,1,92,1,0,4,4,9,156,21,1,0,42
jinja,0ee5eb41,src/jinja2/parser.py,0,1041,851,4.04,11,1.67,4,13,6,92,13,6,9,8,9,156,21,1,0,42
jinja,0ee5eb41,src/jinja2/runtime.py,0,1056,618,2.14,15,26.0,7,16,3,92,9,4,25,5,9,156,21,1,0,42
jinja,0ee5eb41,src/jinja2/sandbox.py,0,429,243,3.36,17,53.11,5,9,4,92,5,4,13,9,9,156,21,1,0,42
jinja,0ee5eb41,src/jinja2/utils.py,0,755,379,2.37,24,39.57,6,17,6,92,2,2,19,8,9,156,21,1,0,42
jinja,0ee5eb41,src/jinja2/visitor.py,0,92,44,3.22,9,77.58,2,5,3,92,2,2,3,8,9,156,21,1,0,42
jinja,20477c63,docs/conf.py,0,54,45,0.0,0,100.0,1,7,0,100,12,9,2,0,9,156,26,1,0,628
jinja,20477c63,docs/examples/inline_gettext_extension.py,0,71,54,15.5,16,61.41,1,1,0,0,0,1,5,7,9,156,26,1,0,628
jinja,d9de4bb2,src/jinja2/__init__.py,0,37,32,0.0,0,100.0,1,24,0,99,1,1,31,0,14,156,2,2,0,21
jinja,051df10c,src/jinja2/parser.py,1,1032,844,4.02,11,1.94,4,13,6,121,8,6,9,8,10,156,3,3,0,42
jinja,37f5b058,src/jinja2/__init__.py,0,37,32,0.0,0,100.0,1,24,0,125,1,1,31,0,10,156,2,3,0,19
jinja,bfceede8,docs/conf.py,0,51,39,0.0,0,100.0,1,7,0,133,0,2,2,0,8,156,3,3,0,19
jinja,090a5a9e,scripts/generate_identifier_pattern.py,1,74,37,2.75,4,78.53,1,3,1,136,2,2,4,4,12,156,1,4,0,24
jinja,832bdaad,scripts/generate_identifier_pattern.py,0,74,37,2.75,4,78.53,1,3,1,141,2,2,4,4,6,156,1,1,0,23
jinja,8ed8e1d0,src/jinja2/async_utils.py,1,84,53,2.5,4,73.25,5,9,3,147,1,1,6,4,17,156,11,3,0,24
jinja,8ed8e1d0,src/jinja2/lexer.py,1,866,622,3.62,48,28.59,4,12,5,147,1,1,10,13,17,156,11,3,0,24
jinja,8ed8e1d0,src/jinja2/loaders.py,1,658,345,3.38,11,42.7,7,20,9,147,7,2,15,6,17,156,11,3,0,24
jinja,8ed8e1d0,src/jinja2/nodes.py,1,1204,628,2.34,12,26.38,4,8,5,147,1,1,9,7,17,156,11,3,0,24
jinja,8ed8e1d0,src/jinja2/parser.py,1,1032,844,4.02,11,1.94,4,13,6,147,9,2,9,8,17,156,11,3,0,24
jinja,8ed8e1d0,src/jinja2/runtime.py,1,1053,618,2.14,15,26.02,7,16,3,147,4,1,25,5,17,156,11,3,0,24
jinja,8ed8e1d0,src/jinja2/sandbox.py,1,428,243,3.36,17,53.11,5,9,4,147,3,3,13,9,17,156,11,3,0,24
jinja,8ed8e1d0,src/jinja2/utils.py,1,755,379,2.37,24,39.58,6,17,6,147,4,2,19,8,17,156,11,3,0,24
jinja,3fadee01,src/jinja2/async_utils.py,0,84,53,2.5,4,73.25,5,9,3,154,1,1,6,4,10,156,10,3,0,19
jinja,3fadee01,src/jinja2/ext.py,0,859,549,3.39,25,31.57,4,11,2,154,2,2,19,9,10,156,10,3,0,19
jinja,3fadee01,src/jinja2/loaders.py,0,661,348,3.38,11,42.68,7,20,9,154,1,1,15,6,10,156,10,3,0,19
jinja,3fadee01,src/jinja2/runtime.py,0,1053,618,2.14,15,26.02,7,16,3,154,2,2,25,5,10,156,10,3,0,19
jinja,997f7f52,src/jinja2/loaders.py,0,658,345,3.38,11,42.7,7,20,9,167,11,14,15,6,2,1,1,1,1,51
jinja,6089d142,src/jinja2/loaders.py,1,661,351,3.32,11,42.64,7,20,9,174,17,17,16,6,7,156,1,0,0,41
jinja,1e68ba86,src/jinja2/__init__.py,0,37,32,0.0,0,100.0,1,24,0,183,1,1,31,0,10,156,2,3,0,21
jinja,746bb957,src/jinja2/bccache.py,1,364,184,2.24,13,54.64,3,6,2,184,48,6,15,4,20,1,2,6,1,46
jinja,5d3d2414,src/jinja2/visitor.py,1,92,45,3.22,9,77.6,2,5,3,186,2,2,3,8,6,156,1,0,0,26
jinja,ea69e41d,src/jinja2/__init__.py,0,37,32,0.0,0,100.0,1,24,0,191,1,1,31,0,6,156,2,0,0,19
jinja,d80ffb47,src/jinja2/__init__.py,0,37,32,0.0,0,100.0,1,24,0,195,1,1,31,0,15,156,2,4,0,21
jinja,1b02fcca,src/jinja2/loaders.py,0,661,351,3.32,11,42.64,7,20,9,193,7,3,16,6,15,156,3,4,0,35
jinja,155e51d9,src/jinja2/__init__.py,0,37,32,0.0,0,100.0,1,24,0,197,1,1,31,0,15,156,2,4,0,19
jinja,e542e100,src/jinja2/__init__.py,0,37,32,0.0,0,100.0,1,24,0,198,1,1,31,0,7,156,2,3,0,19
jinja,7b0c47fe,src/jinja2/__init__.py,0,37,32,0.0,0,100.0,1,24,0,199,1,1,31,0,7,156,2,3,0,21
jinja,040088a3,src/jinja2/loaders.py,0,657,349,3.32,11,42.63,7,20,9,197,8,3,16,6,12,156,3,1,0,48
jinja,5182b64d,src/jinja2/lexer.py,0,866,622,3.62,48,28.59,4,12,5,205,3,6,10,13,18,1,1,2,1,197
jinja,ac3ac6c9,src/jinja2/async_utils.py,0,84,53,2.5,4,73.25,5,9,3,209,10,1,6,4,12,1,3,3,1,36
jinja,d5edb25f,src/jinja2/lexer.py,0,869,623,3.67,48,28.48,4,12,5,216,12,12,10,13,16,156,4,3,0,23
jinja,d5edb25f,src/jinja2/parser.py,0,1032,844,4.02,11,1.94,4,13,6,216,13,21,9,8,16,156,4,3,0,23
jinja,b6f50df8,src/jinja2/ext.py,0,859,549,3.39,25,31.65,4,11,2,224,20,15,19,9,11,156,4,6,0,37
jinja,cdc4f1d0,src/jinja2/debug.py,1,259,156,3.88,9,59.75,3,8,3,225,0,2,11,6,7,156,12,6,0,21
jinja,cdc4f1d0,src/jinja2/ext.py,1,879,567,3.19,24,31.55,4,11,2,225,1,1,20,9,7,156,12,6,0,21
jinja,cdc4f1d0,src/jinja2/idtracking.py,1,318,231,2.29,10,30.33,6,8,4,225,1,1,3,6,7,156,12,6,0,21
jinja,cdc4f1d0,src/jinja2/lexer.py,1,869,623,3.67,48,28.5,4,12,5,225,1,1,10,13,7,156,12,6,0,21
jinja,cdc4f1d0,src/jinja2/loaders.py,1,652,348,3.32,11,42.64,7,20,9,225,1,1,15,6,7,156,12,6,0,21
jinja,cdc4f1d0,src/jinja2/parser.py,1,1040,852,4.02,11,1.96,4,13,6,225,1,1,9,8,7,156,12,6,0,21
jinja,cdc4f1d0,src/jinja2/sandbox.py,1,428,243,3.36,17,53.13,5,9,4,225,1,1,13,9,7,156,12,6,0,21
jinja,cdc4f1d0,src/jinja2/visitor.py,1,92,45,3.22,9,77.56,2,5,3,225,1,1,3,8,7,156,12,6,0,21
