repo,commit_hash,file_path,is_buggy,loc,sloc,avg_complexity,max_complexity,maintainability_index,num_contributors,num_commits,num_bug_fixes,file_age_commits,recent_changes,lines_added,lines_deleted
click,ce1a4186,click/core.py,0,1208,685,2.94,26,7.07,2,62,15,222,2,3,1
click,ce1a4186,examples/repo/repo.py,0,151,97,2.1,5,64.89,1,8,0,269,3,17,2
click,bf94cbb1,click/core.py,1,1211,688,2.95,26,6.86,2,62,15,226,2,4,4
click,9ca28175,click/termui.py,1,434,176,5.0,16,48.18,2,25,4,160,0,1,1
click,a6af25df,click/core.py,1,1211,688,2.95,26,6.86,2,62,15,228,2,1,1
click,c13d7235,examples/repo/repo.py,0,151,97,2.1,5,64.89,1,8,0,276,3,1,1
click,6386d137,click/termui.py,0,440,178,5.0,16,47.9,2,25,4,163,0,8,2
click,7b848660,examples/naval/naval.py,1,70,41,1.0,1,71.15,1,2,1,119,0,1,1
click,4fa40cf5,click/core.py,0,1249,706,3.02,26,5.29,2,62,15,232,2,45,7
click,4fa40cf5,click/parser.py,0,344,211,3.68,9,47.23,1,15,1,194,0,25,2
click,56e68e27,click/core.py,1,1249,706,3.02,26,5.29,2,62,15,233,2,7,4
click,236e09cd,click/core.py,0,1253,704,3.04,26,5.23,2,62,15,234,2,6,5
click,2fae192c,click/bashcomplete.py,0,74,59,4.5,10,46.0,1,2,0,3,0,1,1
click,aa752fda,click/_compat.py,1,517,343,2.29,8,35.76,2,21,5,236,1,4,1
click,ce616c97,click/_compat.py,1,520,346,2.31,8,35.47,2,21,5,237,1,5,0
click,08017968,click/core.py,0,1253,704,3.04,26,5.23,2,62,15,238,2,1,1
click,cf2a337e,click/_termui_impl.py,0,420,345,4.25,14,17.36,2,14,3,61,0,5,1
click,1c8197d3,click/termui.py,0,435,175,4.85,16,48.11,2,25,4,173,0,2,7
click,88c97ef2,click/__init__.py,0,84,42,0.0,0,100.0,1,23,0,241,1,2,1
click,88c97ef2,click/_termui_impl.py,0,471,390,4.26,14,13.92,2,14,3,63,0,52,1
click,88c97ef2,click/termui.py,0,462,181,4.64,16,46.82,2,25,4,174,0,27,0
click,ae0572b6,click/exceptions.py,1,97,50,2.21,6,72.63,1,6,2,242,1,6,1
click,cb88b405,click/core.py,1,1253,704,3.04,26,5.23,2,62,15,245,2,2,2
click,cb88b405,click/termui.py,1,462,181,4.64,16,46.82,2,25,4,178,0,2,2
click,3d34ddf6,click/_termui_impl.py,1,471,390,4.26,14,13.92,2,14,3,68,0,1,1
click,502c86b3,click/termui.py,0,462,181,4.64,16,46.82,2,25,4,180,0,2,2
click,ddb112dd,click/_compat.py,0,525,348,2.33,8,35.57,2,21,5,248,1,1,1
click,3982fbe5,click/termui.py,1,462,181,4.64,16,46.82,2,25,4,182,0,2,2
click,3982fbe5,examples/termui/termui.py,1,105,73,1.88,4,49.87,1,6,1,57,0,1,1
click,9877d9a2,click/_termui_impl.py,1,471,390,4.26,14,13.92,2,14,3,72,0,1,1
click,7d0ded68,click/decorators.py,0,287,144,1.62,5,63.07,3,14,2,251,1,2,2
click,336e5e08,click/decorators.py,1,287,144,1.62,5,63.07,3,14,2,252,1,1,1
